Id,Word,Transcription,Definition,Example
50,library,ˈlaɪbri,A library is a place where you go to read books.,The library at school is full of books.
51,photograph,ˈfəʊtəɡræf,I like taking photographs.,I took this photograph with my cell phone.
52,planet,ˈplænɪt,A planet is a large round thing in space.,Saturn is the planet with the ring around it.
53,report,rɪˈpɔːrt,A report is something someone writes for school or work.,Karen had trouble writing her report.
54,several,ˈsevrəl,Several is more than two but not many.,He had to read several books for class.
55,shape,ʃeɪp,An object’s shape is the arrangement of its sides and surfaces.,Even with your eyes closed you can feel the shape of it.
56,solve,sɑːlv,To solve something is to find an answer to it.,All the students could easily solve the math problem.
57,suddenly,ˈsʌdənli,"If something happens suddenly, it happens quickly and unexpectedly.","I was surprised when my friends suddenly shouted, “Happy birthday!”"
58,suppose,səˈpəʊz,To suppose is to guess.,I suppose I should go home now.
59,understand,ˌʌndərˈstænd,To understand something you need to know what it means.,Henry could not understand the message.
60,view,vjuː,To view is to look at something.,Michael likes to view himself in the mirror.
61,appropriate,əˈprəʊpriət,"When a thing is appropriate, it is right or normal.",It’s appropriate to wear a suit when you go to the office.
62,avoid,əˈvɔɪd,To avoid something is to stay away from it.,Avoid the broken bottle on the floor.
63,behave,bɪˈheɪv,"To behave is to act in a particular way, especially to be good.",She always behaves well when her father is around.
64,calm,kɑːm,"When someone is calm, they do not get excited or upset.",A nice warm bath makes me feel so calm.
65,concern,kənˈsɜːrn,Concern is a feeling of worry.,I was filled with concern after reading the newspaper.
66,content,kəntént,To be content is to be happy and not want more.,The baby looked very content sitting on the floor.
67,expect,ɪkˈspekt,"If you expect something to happen, you believe it will happen.",I expect the bus to be here very soon.
68,frequently,ˈfriːkwəntli,"When something happens frequently, it happens often.","We meet frequently, either at the beginning or end of the week."
69,habit,ˈhæbɪt,A habit is a thing that you do often.,Smoking is a bad habit that can kill you.
70,instruct,ɪnˈstrʌkt,To instruct is to teach.,My teacher instructs us in several subjects.
71,issue,ˈɪʃuː,An issue is an important topic.,The men spoke about issues that were important to the people.
72,none,nʌn,None means not any of something.,He spent all his money. There is none left.
73,patient,ˈpeɪʃnt,"If people are patient, they don’t become angry or upset easily.",I had to be patient and wait until 5 o’clock to leave.
74,positive,ˈpɑːzətɪv,"If something is positive, it is good.",She has a positive future ahead of her after finishing college.
75,punish,ˈpʌnɪʃ,To punish means to make someone suffer for breaking the rules or laws.,"To punish me, my teacher had me stand in the corner."
76,represent,ˌreprɪˈzent,To represent is to speak or act for a person or group.,My lawyer will represent me in court.
77,shake,ʃeɪk,To shake is to move back and forth or up and down quickly.,"When people shake hands, it usually means they agree."
78,spread,spred,To spread is to move out to cover a larger area.,I like to spread butter on my toast.
79,stroll,strəʊl,To stroll means to walk slowly and calmly.,My dog and I strolled through the park today.
80,village,ˈvɪlɪdʒ,A village is a very small town.,There are only a few houses in my village.
81,active,ˈæktɪv,"When someone is active, they move a lot or have a lot of things to do.",It is important to be active and not sit around all the time.
82,adult,əˈdʌlt,An adult is a person who is more than 18 years old.,My mom and dad are adults.
83,age,eɪdʒ,Age is how many years someone has lived.,She died at the age of 80.
84,bad,bæd,"When something is bad, it is not good.",She is unhappy because she had a bad day.
85,balance,ˈbæləns,Balance is when two or more things are equal.,A good balance between work and fun helps keep you healthy.
86,bike,baɪk,A bike is a vehicle with two wheels powered by a human.,He rides his bike to school every day.
87,choose,tʃuːz,To choose is to pick something or make a decision.,I have to choose between taking art classes and sports lessons.
88,doctor,ˈdɑːktər,A doctor is a person who studies medicine and helps sick people.,You should go to the doctor when you are sick.
89,during,ˈdʊrɪŋ,During an event means while the event was happening.,Did you sleep during the movie?
90,football,ˈfʊtbɔːl,Football is a sport with eleven members and an oval-shaped ball.,Football is a popular sport in the United States.
91,fun,fʌn,"When something is fun, it is enjoyable.",We had a fun time at the birthday party.
92,game,ɡeɪm,A game is an activity where people compete against each other.,Let’s play a board game tonight.
93,heart,hɑːrt,A heart is an organ that keeps the body alive.,My heart beats fast when I am nervous.
94,golf,ɡɑːlf,Golf is a sport with clubs and a small white ball.,People play golf in nice weather.
95,increase,ɪnˈkriːs,To increase is to make something larger.,I will increase my score if I study for the test.
96,life,laɪf,Life is the time when a person is alive.,My grandfather had a long life.
97,kilometer,kilάmətər,"A kilometer is a unit of measurement that is 1,000 meters.",A marathon is 42.2 kilometers.
98,often,ˈɒftən,Often is when something happens many times.,He often goes to bed early during the week.
99,plenty,ˈplenti,"If you have plenty of something, there is a lot of it.","We have plenty of fruit, so help yourself."
100,weight,weɪt,Weight is how heavy something or someone is.,I gained weight because I ate a lot of pizza.
101,apart,əˈpɑːrt,"When people or things are apart, they are not next to each other.",They moved apart and then came back together.
102,attribute,əˈtrɪbjuːt,An attribute is a characteristic of a person or thing.,"He isn’t very clever, but he does have some other positive attributes."
103,bilingual,ˌbaɪˈlɪŋɡwəl,A bilingual person can speak two languages.,"Since you already know English, after learning French you’ll be bilingual."
104,completely,kəmˈpliːtli,"Something completely different is very, very different from before.",I was completely wrong.
105,dash,dæʃ,To dash means to run or move quickly.,Helen dashed up the stairs so she wouldn’t be late for her appointment.
106,disgust,dɪsˈɡʌst,Disgust is a feeling of distaste and anger caused by something rude or unpleasant.,He felt disgust toward his date because she had such terrible eating habits.
107,fashionable,ˈfæʃnəbl,Something fashionable is what people like to wear and do now.,It is very fashionable to wear a hat.
108,foreign,ˈfɔːrən,Something foreign is something we are not used to.,He has travelled widely in foreign countries.
109,gulf,ɡʌlf,A gulf is a gap between people who do not understand each other.,There has been a gulf between James and Tony since their parents died.
110,mirror,ˈmɪrər,"A mirror is usually made of glass, and you can see yourself in it.",He used the mirror to shine light in their eyes.
111,natural,ˈnætʃrəl,Things that are natural are not made by people.,We need to take care of the natural world.
112,nowadays,ˈnaʊədeɪz,Nowadays means at the present time.,"Nowadays, not so many people smoke."
113,participant,pɑːrˈtɪsɪpənt,A participant is someone who joins in a social event or competition.,There were thousands of participants in this year’s marathon.
114,ritual,ˈrɪtʃuəl,A ritual is a formal custom that people do regularly.,Ken was very interested to learn about the religious rituals of the natives.
115,spoken,ˈspəʊkən,Spoken language is what we say.,We cannot take back what has been spoken.
116,sport,spɔːrt,"Sport involves games like running, jumping, football, and tennis.",She loves watching sport on TV.
117,surprised,sərˈpraɪzd,You are surprised when something unexpected happens.,He didn’t appear at all surprised when he read the article.
118,tense,tens,"When you are tense, you are not comfortable and feel unhappy.",I felt very tense waiting to hear the result of the vote.
119,totally,ˈtəʊtəli,"If you totally agree, you agree with everything just said.",I am totally against that.
120,vague,veɪɡ,"If something is vague, it is not clear and gives very few details.","I asked him about his mother’s health, but he was very vague about it."
121,allow,əˈlaʊ,To allow something to happen means to let it happen.,Having a ticket will allow you to enter the show.
122,announce,əˈnaʊns,To announce something is to make it known.,He announced to everyone his new idea for the company.
123,beside,bɪˈsaɪd,Someone or something beside you is next to you.,The two brothers stood beside each other.
124,challenge,ˈtʃælɪndʒ,A challenge is something difficult to complete.,It was a challenge to climb to the top of the mountain.
125,claim,kleɪm,To claim means to say that something is true.,He claimed to know why the country’s laws were weak.
126,condition,kənˈdɪʃn,The condition of someone or something is the state that they are in.,The patient’s condition was very good.
127,contribute,ˈkɒntrɪbjuːt,To contribute to something means to do something to make it successful.,We decided to contribute money to the new hospital.
128,difference,ˈdɪfrəns,A difference is a way that something is not like other things.,The biggest difference between the birds is the color of their feathers.
129,divide,dɪˈvaɪd,To divide something is to split it into smaller parts.,We divided the pizza.
130,expert,ˈekspɜːrt,An expert is someone who is very good at doing something.,The wizard was an expert at magic.
131,famous,ˈfeɪməs,A famous person or thing is well known.,The Eiffel Tower in Paris is very famous.
132,force,fɔːrs,Force is a person’s strength or power.,He used all his force to try and open the door.
133,harm,hɑːrm,To cause harm is to hurt someone or damage something.,A hot iron can cause great harm if you are not careful.
134,lay,leɪ,To lay means to put or place in a horizontal or flat position.,Don’t lay your socks on the floor.
135,peace,piːs,Peace is a time without war.,A white dove is a symbol of peace.
136,prince,prɪns,A prince is the son of a king.,The prince and the princess were married.
137,protect,prəˈtekt,To protect someone is to stop them from getting hurt.,Firemen protect us from fires.
138,sense,sens,To sense something is to know about it without being told.,I could sense that he was watching me.
139,sudden,ˈsʌdn,"When something is sudden, it happens very quickly.",He felt a sudden pain in his chest.
140,therefore,ˈðerfɔːr,Therefore means for this reason.,"He is fat. Therefore, he should go on a diet."
141,accept,əkˈsept,To accept something that is offered is to take it.,I accepted the girl’s very nice gift.
142,arrange,əˈreɪndʒ,To arrange things is to put them in the right place.,Please arrange the words in order from A to Z.
143,attend,əˈtend,To attend something is to go to it.,My sister and I attend the same school.
144,chase,tʃeɪs,You chase people when you run after them and try to catch them.,I was chased by a dog.
145,contrast,ˈkɑːntræst,A contrast is a sharp difference between two things.,The contrast between my parents is very noticeable.
146,encourage,ɪnˈkɜːrɪdʒ,To encourage people is to make them want to do something.,My football coach will encourage us when we are losing.
147,familiar,fəˈmɪliər,People or things familiar to you are those you know well.,The two friends were very familiar with each other.
148,grab,ɡræb,To grab is to take a hold of someone or something suddenly.,I grabbed a pear from the tree.
149,hang,hæŋ,To hang something is to keep it above the ground.,"I drew a picture of my family, and my mother hung it on the wall."
150,huge,hjuːdʒ,"If something is huge, it is very big.","At work, my father drives a huge truck."
151,necessary,ˈnesəseri,"If something is necessary, you must do it.",A passport is necessary if you travel to other countries.
152,pattern,ˈpætərn,A pattern is a way in which something is done or organized.,My pattern of brushing my teeth is the same as most people’s.
153,propose,prəˈpəʊz,To propose something is to say that it should be done.,My grandmother proposed that we have our picture taken with Santa.
154,purpose,ˈpɜːrpəs,A purpose is the reason that you do something.,The purpose of exercising is to get into shape.
155,release,rɪˈliːs,To release something is to stop holding it.,She released the bird from her hands.
156,require,rɪˈkwaɪər,To require something is to say that it is necessary.,We require teachers to have a university degree.
157,satisfied,ˈsætɪsfaɪd,You are satisfied when you have what you wanted.,I am very satisfied with your work.
158,single,ˈsɪŋɡl,"If something is single, then there is only one.",I have a single key in my hand.
159,tear,teər,To tear something means to pull it apart.,It is easy to tear paper.
160,theory,ˈθiːəri,A theory is an idea about how something works.,We talked about Einstein’s theory of relativity in class.
161,animal,ˈænɪml,An animal is a living thing that can move.,My favorite animal is the panda.
162,bus,bʌs,A bus is a large vehicle that people travel on.,My father takes the bus to work.
163,cat,kæt,A cat is a small animal related to lions and tigers that is kept as a pet.,This cat is playing with a ball.
164,command,kəˈmænd,A command is an order given to a person or animal to do something.,Joe gave the students a command to stand up.
165,depend,dɪˈpend,To depend on something is to need it for support or help.,My grandfather depends on a cane when he walks.
166,dog,dɔːɡ,A dog is an animal with four legs and a tail that is kept as a pet or trained to work.,This woman’s best friend is her dog.
167,door,dɔːr,A door is an object that swings or slides open and shut.,"Can you close the door, please?"
168,friend,frend,A friend is someone a person knows and likes spending time with.,Brian’s friend is very sad.
169,hear,hɪr,To hear is to be aware of sound through your ears.,Michelle cannot hear what you are saying.
170,help,help,To help is to do something that makes something easier for someone else.,Jane can help Nathan climb up the rock.
171,horse,hɔːrs,"A horse is a big, strong animal that people ride and use for pulling heavy things.",I went to a farm and saw a horse.
172,hospital,ˈhɑːspɪtl,A hospital is where sick or hurt people receive care or treatment.,The doctor talks to a patient at the hospital.
173,leg,leɡ,A leg is a body part used for standing and walking.,She hurt her leg.
174,medical,ˈmedɪkl,Medical means related to the treatment of an injury or disease.,Tyler is a medical student studying to become a doctor.
175,open,ˈəʊpən,To open is to move something so that an opening is not covered.,Amy likes to open the window to let fresh air in.
176,pull,pʊl,To pull is to hold onto something to move it toward you.,The children pull the rope.
177,rabbit,ˈræbɪt,A rabbit is a small animal with long ears that lives in a hole in the ground.,Look at the rabbit in the park.
178,school,skuːl,A school is a place where children go to learn.,The students study at school.
179,see,siː,To see is to use your eyes to look at something or someone.,Steven does not want to see the scary picture.
180,service,ˈsɜːrvɪs,Service is the act of helping or serving someone.,This coffee shop has excellent service.
181,benefit,ˈbenɪfɪt,A benefit is a good thing.,Being able to fly is a benefit to birds.
182,certain,ˈsɜːrtn,"If you are certain about something, you know it is true.",I am certain that zebras have stripes.
183,chance,tʃæns,A chance is an opportunity to do something.,I had a chance to see the Coliseum in Rome last summer.
184,effect,ɪˈfekt,An effect is a change made by something else.,The medicine had a good effect on the boy.
185,essential,ɪˈsenʃl,"If something is essential, it is very important and necessary.",It is essential to have oxygen when you scuba dive.
186,far,fɑːr,"If something is far, it is not close.",It’s far from the east coast to the west coast of America.
187,focus,ˈfəʊkəs,To focus on something is to think about it and pay attention to it.,My mom always helps me to focus on my school work.
188,function,ˈfʌŋkʃn,The function of something is what it does.,The function of a flashlight is to help you see in the dark.
189,grass,ɡræs,Grass is the green leaves that cover the ground.,The grass looked so soft and green.
190,guard,ɡɑːrd,To guard something is to take care of it.,The police officer will guard us from any harm.
191,image,ˈɪmɪdʒ,The image of something is a picture of it.,The image of her eye was very clear.
192,immediate,ɪˈmiːdiət,"If something is immediate, it happens quickly.",An immediate response came from the pizza place.
193,primary,ˈpraɪmeri,"If something is primary, it is the most important thing.",His primary thoughts are about money.
194,proud,praʊd,People who feel proud are happy about what they have done.,She is proud of the picture she drew of her house.
195,remain,rɪˈmeɪn,To remain somewhere is to stay there.,My sister had to remain home since she was sick.
196,rest,rest,To rest is to stop being active while the body gets back its strength.,I rested on the couch after work.
197,separate,ˈseprət,"If two things are separate, they are not together.",New York and Los Angeles are in two separate parts of America.
198,site,saɪt,A site is a place.,We found the perfect site for our picnic.
199,tail,teɪl,A tail is a part of an animal’s body that sticks out from its rear or back.,Our dog wags its tail when it’s happy.
200,trouble,ˈtrʌbl,Trouble is a problem or a difficulty.,I have trouble working with my boss.
201,advertise,ˈædvərtaɪz,To advertise is to describe or draw attention to a product or event by using a public medium.,The woman started a new company and needed to advertise her products.
202,aware,əˈwer,"If someone is aware, they know that something or a situation exists.",The student became aware that the teacher was watching him.
203,battery,ˈbætəri,A battery is an object placed inside something to supply it with electricity.,My brother needs a battery for his clock.
204,black,blæk,Black is the darkest color.,Our street is black at night because there are no street lights.
205,city,ˈsɪti,A city is a place where a lot of people live.,Tokyo is a very big city in Japan.
206,clean,kliːn,To clean is to make something neat and tidy.,I clean our kitchen every Saturday.
207,country,ˈkʌntri,A country is an area of land with the same government and laws.,France is a country in Europe.
208,develop,dɪˈveləp,To develop is to make something larger or more advanced.,This practice will help you develop your math skills.
209,electric,ɪˈlektrɪk,"If something is electric, it uses electricity.",Some car companies make electric cars.
210,eventually,ɪˈventʃuəli,"When something happens at a later time or in the end, it happens eventually.",He will eventually move to London to find a new job.
211,fact,fækt,A fact is a piece of information that is true.,A fact about South America is that it is a continent.
212,glass,ɡlæs,"Glass is a transparent, breakable material.",Windows are made of glass.
213,history,ˈhɪstri,History is the study of the past.,History was my favorite subject in school.
214,nature,ˈneɪtʃər,Nature is everything in the physical world that is not made by people.,"On the weekends, I love to walk in nature among the trees."
215,never,ˈnevər,Never is when something is impossible or will not happen.,They never eat meat because they are vegetarians.
216,people,ˈpiːpl,People are humans.,How many people live in China?
217,plastic,ˈplæstɪk,Plastic is a material made by people.,Many drinks are sold in plastic bottles.
218,problem,ˈprɑːbləm,A problem is a situation when something goes wrong.,My problem is that I lost my dog.
219,street,striːt,A street is a road in a city or village.,What is the name of the street you live on?
220,think,θɪŋk,To think is to have an opinion or thought about something.,I think summer is the best season.
221,alone,əˈləʊn,A person who is alone is not with another person.,The boy wanted to be alone to think.
222,apartment,əˈpɑːrtmənt,An apartment is a set of rooms in a building where people live.,She has a nice apartment in the city.
223,article,ˈɑːrtɪkl,An article is a story in a newspaper or magazine.,Did you read the article in the newspaper about the soccer game?
224,artist,ˈɑːrtɪst,"An artist is a person who paints, draws, or makes sculptures.",He went to Paris to become an artist.
225,attitude,ˈætɪtuːd,Someone’s attitude is the way they feel and think.,John has a bad attitude. He’s always angry.
226,beauty,ˈbjuːti,Beauty is the state or quality of being beautiful.,I heard my mother was a great beauty when she was young.
227,compare,kəmˈper,To compare means to say how two things are the same and different.,"If you compare cats and dogs, you’ll see that they’re both good pets."
228,judge,dʒʌdʒ,To judge something is to say if it is good or bad.,The boy was going to judge how his mother’s turkey tasted.
229,magazine,ˈmæɡəziːn,"A magazine is a regular publication with news, stories, and articles.",She likes to read fashion magazines.
230,material,məˈtɪriəl,A material is what is used to make something.,Brick is a good material for building houses.
231,meal,miːl,"A meal is a time when food is eaten, such as breakfast, lunch, or dinner.",Breakfast is my favorite meal because I enjoy cereal.
232,method,ˈmeθəd,A method is the way to do something.,One method to remember things is to tie a string around your finger.
233,neighbor,néibər,A neighbor is a person who lives near you.,I like my neighbor because he’s very friendly.
234,professional,prəˈfeʃənl,"If something is professional, it deals with work that uses special skills.","If you want to be a pilot, you must have professional training."
235,profit,ˈprɑːfɪt,A profit is the extra money you make when you sell something.,I made a small profit from selling my old clothes.
236,quality,ˈkwɑːləti,The quality of something is how good it is.,The quality of his car is very good.
237,space,speɪs,A space is an empty area.,I don’t have much space for things in my small house.
238,stair,ster,Stairs are the things that are used to walk up or down in a building.,You can take the stairs to the second floor.
239,symbol,ˈsɪmbl,A symbol is a thing that stands for something else.,This symbol tells us that we cannot smoke in this area.
240,thin,θɪn,"If someone or something is thin, they are not fat.",The man was thin because he didn’t eat much.
241,accounting,əˈkaʊntɪŋ,People study accounting so they can deal with money and finance properly.,He works for an accounting firm.
242,appeal,əˈpiːl,To appeal to someone is to be interesting or attractive.,"Sleeping all day appeals to me, but I have to go to school."
243,assume,əˈsuːm,"To assume something is to think that it is true, even with no proof.",I assume you are both familiar with this plan.
244,borrow,ˈbɔːrəʊ,To borrow something is to take it and then give it back later.,Can I borrow a pencil to use today? I’ll give it back to you tomorrow.
245,client,ˈklaɪənt,A client is a person or business that pays another to do a service.,She has many clients who enjoy coming to her salon.
246,downtown,ˌdaʊnˈtaʊn,The downtown area is the center of most cities.,The downtown area is filled with many tall buildings.
247,dull,dʌl,"If something is dull, it is not exciting.",The movie was very dull. I fell asleep watching it.
248,embarrass,ɪmˈbærəs,To embarrass people is to make them feel ashamed or foolish.,He was embarrassed when he couldn’t remember her name.
249,fare,fer,"A fare is an amount of money paid to use a bus, train, or taxi.","Since he is a senior, my grandfather pays a low fare for the bus."
250,former,ˈfɔːrmər,Former describes something that used to be but is not anymore.,"The hotel, a former castle, was built over 200 years ago."
251,found,faʊnd,To found a company or organization means to start it.,The Pilgrims founded one of the first colonies in the United States.
252,invest,ɪnˈvest,To invest means to use money in a way that will bring a profit later.,I invested money in a new building that should bring me a profit.
253,loan,ləʊn,"A loan is something, usually money, that one person lends to another.",I got a loan from the bank.
254,practical,ˈpræktɪkl,"If something is practical, it is useful.",Learning English is practical; you can use it in many places.
255,quarter,ˈkwɔːrtər,A quarter is 1/4 or 25% of something.,He paid a quarter for the candy.
256,salary,ˈsæləri,A salary is how much money a person makes at his or her job.,He got a new job with a better salary.
257,scholarship,ˈskɑːlərʃɪp,A scholarship is money given so someone can go to school.,I got a scholarship to help me pay for university.
258,temporary,ˈtempəreri,"If something is temporary, it exists for a short time.",This car is only temporary; I’ll get a new one soon.
259,treasure,ˈtreʒər,"A treasure is a collection of valuable things, especially jewels or gold.",They became very rich when they found the buried treasure.
260,urge,ɜːrdʒ,To urge someone is to try very hard to get them to do something.,He urged them to believe his story.
261,coach,kəʊtʃ,A coach is a person who teaches sports.,My coach gets very excited during games.
262,control,kənˈtrəʊl,To control something is to make it do what you want.,"To control the TV, just push the buttons."
263,description,dɪˈskrɪpʃn,A description of someone or something says what they are like.,I gave a description of the man with the gun and hat to the police.
264,direct,daɪˈrekt,"If something is direct, it goes straight between two places.",The green path is a direct route to my house.
265,exam,ɪɡˈzæm,An exam is a test.,I did some practice questions for the math exam on the board.
266,example,ɪɡˈzæmpl,An example of something is a thing that is typical of it.,Cola is an example of a soft drink.
267,limit,ˈlɪmɪt,A limit is the largest or smallest amount of something that you allow.,My mother put a limit on how much I could use the phone.
268,local,ˈləʊkl,"If something is local, it is nearby.",The local market in my neighborhood sells all the food we need.
269,magical,ˈmædʒɪkl,Magical describes a quality that makes someone or something special.,The fireworks made the night sky look so magical.
270,mail,meɪl,Mail is letters and other things sent to people.,I get a lot of mail because I have friends all over the world.
271,novel,ˈnɑːvl,A novel is a book that tells a story.,He wrote a great novel about ancient China.
272,outline,ˈaʊtlaɪn,An outline is the plan for a story or essay.,"Before I wrote my essay, I made an outline."
273,poet,ˈpəʊət,A poet is a person who writes poems.,William Shakespeare was one of the greatest poets.
274,print,prɪnt,To print something is to put it onto paper.,Make sure that you print your name clearly.
275,scene,siːn,A scene is one part of a book or movie.,A movie is made up of many short pieces or scenes.
276,sheet,ʃiːt,A sheet is a thin flat piece of paper.,I only needed a single sheet of paper to do my homework.
277,silly,ˈsɪli,People who are silly show a lack of serious thought.,I made a silly mistake of dropping mom’s vase.
278,store,stɔːr,A store is a place where you can buy things.,I picked up a few things at the grocery store.
279,suffer,ˈsʌfər,To suffer is to feel pain.,Her headache made her suffer all day.
280,technology,tekˈnɑːlədʒi,Technology is new things made by using science.,He loves technology such as laptop computers.
281,across,əˈkrɔːs,To go across something is to go to the other side of it.,He walked across the board to the other side.
282,breathe,briːð,To breathe means to let air go in and out of your body.,We need strong healthy lungs to help us breathe well.
283,characteristic,ˌkærəktəˈrɪstɪk,A characteristic is something that shows what a person or a thing is like.,One characteristic of tigers is their black stripes.
284,consume,kənˈsuːm,To consume something means to eat or drink it.,Jack consumed a whole plate of spaghetti.
285,excite,ɪkˈsaɪt,To excite someone means to make them happy and interested.,I heard about the school dance on Friday. This excited me.
286,extremely,ɪkˈstriːmli,"If something is extremely good, it is very, very good.",I was extremely worried about him.
287,fear,fɪr,Fear is the feeling of being afraid.,I have a great fear of skateboarding.
288,fortunate,ˈfɔːrtʃənət,"If you are fortunate, you are lucky.",I was fortunate to get a seat.
289,happen,ˈhæpən,"If someone happens to do something, he or she does it by chance.",I happened to meet some new friends at school today.
290,length,leŋkθ,The length of something is how long it is from one end to the other.,The length of the floor is three meters.
291,mistake,mɪˈsteɪk,A mistake is something you do wrong.,My boss always yells at me when I make a mistake.
292,observe,əbˈzɜːrv,To observe something is to watch it.,Brian observed the sun rising over the mountains.
293,opportunity,ˌɑːpərˈtuːnəti,An opportunity is a chance to do something.,I had an opportunity to take pictures in the jungle.
294,prize,praɪz,A prize is something of value that is given to the winner.,I won a prize for getting the best grade on my science test.
295,race,reɪs,A race is a contest to see who is the fastest.,"Paul is a fast runner, so he easily won the race."
296,realize,ˈrɪəlaɪz,To realize is to suddenly understand.,"After I left my house, I realized that I left the light on."
297,respond,rɪˈspɑːnd,To respond is to give an answer to what someone else said.,"When the teacher asked the question, we all responded."
298,risk,rɪsk,A risk is a chance of something bad happening.,I took a risk and climbed the snowy mountain.
299,wonder,ˈwʌndər,To wonder is to ask yourself questions or have a need to know.,The young mother wondered if she’d have a boy or a girl.
300,yet,jet,Yet is used to say something has not happened up to now.,We can’t go out yet; we’re still eating.
301,art,ɑːrt,Art is something creative that expresses ideas and feelings.,My sister likes to look at the art in the museum.
302,book,bʊk,A book is a set of printed sheets of paper that are held together inside a cover.,The man smiles as he reads his favorite book.
303,clothes,kləʊz,Clothes are what people wear to cover their bodies.,I bought warm clothes for the cold winter.
304,community,kəˈmjuːnəti,A community is a group of people who share the same area or interests.,The community got together to plant trees.
305,December,disémbər,December is the twelfth month of the year.,The last day of the year is December 31st.
306,dinner,ˈdɪnər,Dinner is the main meal eaten in the evening.,I had a hamburger for dinner.
